id,ra,nome,fase,ano,inde,pedra,ian,ida,ieg,iaa,ips,ipp,ipv,defasagem
846,RA-846,Aluno-846,0,2022,7.412,Ametista,10.0,5.9,7.2,9.0,7.5,,7.917,0
847,RA-847,Aluno-847,0,2022,6.839,Ágata,5.0,7.7,8.2,7.9,4.4,,7.417,-1
848,RA-848,Aluno-848,0,2022,7.488,Ametista,5.0,9.0,7.0,9.5,7.5,,7.833,-1
849,RA-849,Aluno-849,0,2022,7.369,Ametista,5.0,9.1,8.3,8.5,7.5,,7.417,-1
850,RA-850,Aluno-850,0,2022,7.641,Ametista,10.0,8.5,7.3,10.0,7.5,,7.167,0
851,RA-851,Aluno-851,0,2022,7.515,Ametista,10.0,8.3,7.9,9.0,7.5,,6.583,0
852,RA-852,Aluno-852,0,2022,5.666,Quartzo,10.0,2.1,6.8,9.0,5.0,,5.5,0
853,RA-853,Aluno-853,0,2022,8.616,Topázio,10.0,8.5,9.6,10.0,7.5,,8.5,0
854,RA-854,Aluno-854,0,2022,8.098,Topázio,10.0,9.3,9.0,8.0,7.5,,7.167,0
855,RA-855,Aluno-855,0,2022,8.453,Topázio,5.0,9.7,9.6,10.0,7.5,,9.0,-1
856,RA-856,Aluno-856,0,2022,8.398,Topázio,10.0,8.4,9.1,10.0,7.5,,8.0,0
857,RA-857,Aluno-857,0,2022,8.154,Topázio,5.0,9.5,8.9,8.5,7.5,,9.083,-1
858,RA-858,Aluno-858,0,2022,7.523,Ametista,10.0,7.7,7.1,10.0,5.6,,7.333,0
859,RA-859,Aluno-859,0,2022,8.325,Topázio,10.0,8.9,8.7,8.5,7.5,,8.25,0
860,RA-860,Aluno-860,0,2022,8.136,Topázio,10.0,8.1,8.5,9.5,7.5,,7.75,0
861,RA-861,Aluno-861,0,2023,9.311,Topázio,10.0,9.6,10.0,9.5,8.13,8.4375,8.92,0
862,RA-862,Aluno-862,0,2023,8.2212,Topázio,5.0,8.9,9.1,8.5,8.14,7.5,8.585,-1
863,RA-863,Aluno-863,0,2023,5.9298,Quartzo,10.0,6.3,7.6,0.0,3.14,5.9375,6.26,0
864,RA-864,Aluno-864,0,2023,7.034,Ametista,10.0,6.3,7.6,0.0,8.14,7.5,8.5,0
865,RA-865,Aluno-865,0,2023,8.1552,Topázio,10.0,7.4,8.7,8.5,7.52,7.5,7.915,0
866,RA-866,Aluno-866,0,2023,7.679,Ametista,10.0,8.6,8.3,0.0,8.76,7.5,8.415,0
867,RA-867,Aluno-867,0,2023,8.6992,Topázio,10.0,8.9,8.6,9.0,8.76,7.5,8.415,0
868,RA-868,Aluno-868,0,2023,8.639,Topázio,10.0,7.1,9.5,10.0,8.76,7.1875,8.67,0
869,RA-869,Aluno-869,0,2023,9.2587,Topázio,10.0,9.6,10.0,9.0,8.76,8.125,8.75,0
870,RA-870,Aluno-870,0,2023,4.909,Quartzo,5.0,1.5,8.5,0.0,8.76,5.0,5.165,-1
871,RA-871,Aluno-871,0,2023,6.8617,Agata,5.0,6.9,9.5,9.0,3.76,4.375,6.84,-1
872,RA-872,Aluno-872,0,2023,5.267,Quartzo,5.0,4.3,6.7,0.0,2.52,6.25,8.5,-2
873,RA-873,Aluno-873,0,2023,7.8012,Ametista,5.0,7.0,9.7,8.5,7.52,6.25,8.67,-2
874,RA-874,Aluno-874,0,2023,5.811,Quartzo,5.0,4.8,8.2,0.0,7.52,6.25,6.67,-1
875,RA-875,Aluno-875,0,2023,8.2712,Topázio,5.0,7.3,9.5,9.5,7.52,7.5,9.845,-1
876,RA-876,Aluno-876,0,2023,8.6492,Topázio,10.0,7.5,9.4,10.0,7.52,7.5,8.835,0
877,RA-877,Aluno-877,0,2023,7.4722,Ametista,5.0,6.9,9.5,9.5,7.52,5.0,7.5,-1
878,RA-878,Aluno-878,0,2023,6.24,Agata,5.0,8.1,9.5,0.0,2.52,5.0,7.34,-2
879,RA-879,Aluno-879,0,2023,6.8225,Agata,5.0,8.2,9.8,0.0,2.52,6.875,8.915,-1
880,RA-880,Aluno-880,0,2023,6.724,Agata,10.0,6.3,9.4,0.0,2.52,6.25,8.585,0
881,RA-881,Aluno-881,0,2023,7.7322,Ametista,10.0,7.3,8.9,10.0,7.52,5.0,6.25,0
882,RA-882,Aluno-882,0,2023,6.0092,Agata,10.0,4.7,8.6,9.0,2.52,3.75,4.16,0
883,RA-883,Aluno-883,0,2023,8.5082,Topázio,10.0,8.4,9.7,9.5,6.89,6.25,8.17,0
884,RA-884,Aluno-884,0,2023,8.4587,Topázio,10.0,8.8,9.7,9.0,4.39,6.875,8.66,0
885,RA-885,Aluno-885,0,2023,8.8252,Topázio,10.0,8.7,9.8,9.0,7.52,7.5,8.665,0
886,RA-886,Aluno-886,0,2023,8.6422,Topázio,10.0,8.1,9.4,8.5,7.52,7.5,9.0,0
887,RA-887,Aluno-887,0,2023,8.6718,Topázio,10.0,8.4,8.9,8.9,7.52,7.5,9.09,0
888,RA-888,Aluno-888,0,2023,8.9182,Topázio,10.0,8.8,10.0,9.0,7.52,7.5,8.83,0
889,RA-889,Aluno-889,0,2023,8.8092,Topázio,10.0,9.1,9.5,8.5,6.89,7.5,9.0,0
890,RA-890,Aluno-890,0,2023,6.989,Agata,10.0,8.3,9.1,0.0,2.52,6.25,8.16,0
891,RA-891,Aluno-891,0,2023,7.8882,Ametista,5.0,7.5,9.5,9.5,6.89,7.5,7.995,-1
892,RA-684,Aluno-684,0,2023,7.4277,Ametista,10.0,6.5,8.1,9.0,7.52,6.875,5.84,0
893,RA-892,Aluno-892,0,2023,8.8112,Topázio,10.0,8.3,9.6,8.0,6.89,7.5,10.01,0
894,RA-857,Aluno-857,0,2023,8.1442,Topázio,5.0,8.5,9.0,8.5,7.52,7.5,9.01,-1
895,RA-893,Aluno-893,0,2023,8.8042,Topázio,5.0,9.3,10.0,9.5,7.52,7.5,10.01,-1
896,RA-894,Aluno-894,0,2023,8.8142,Topázio,5.0,9.4,9.9,9.5,7.52,7.5,10.01,-1
897,RA-690,Aluno-690,0,2023,8.6112,Topázio,5.0,9.1,9.8,9.0,6.89,7.5,10.01,-2
898,RA-895,Aluno-895,0,2023,8.5397,Topázio,10.0,6.8,9.5,9.5,7.52,6.875,9.5,0
899,RA-896,Aluno-896,0,2023,9.0912,Topázio,10.0,8.5,10.0,9.5,6.89,7.5,10.01,0
900,RA-693,Aluno-693,0,2023,9.0112,Topázio,10.0,8.5,9.4,10.0,6.89,7.5,10.01,0
901,RA-675,Aluno-675,0,2023,8.3577,Topázio,10.0,8.3,8.0,10.0,7.52,6.875,8.34,0
902,RA-850,Aluno-850,0,2023,6.0652,Agata,5.0,7.3,7.9,0.0,6.26,6.5625,6.265,-1
903,RA-897,Aluno-897,0,2023,5.4822,Quartzo,5.0,6.5,8.1,0.0,7.52,6.5625,3.32,-1
904,RA-842,Aluno-842,0,2023,7.2117,Ametista,5.0,7.9,8.5,9.0,3.77,5.625,8.01,-1
905,RA-898,Aluno-898,0,2023,8.4217,Topázio,5.0,9.4,9.8,9.0,3.77,8.125,10.01,-1
906,RA-899,Aluno-899,0,2023,8.8452,Topázio,10.0,9.5,9.8,10.0,3.77,7.5,9.34,0
907,RA-900,Aluno-900,0,2023,8.8947,Topázio,10.0,7.8,9.8,9.0,9.38,8.125,8.67,0
908,RA-846,Aluno-846,0,2023,7.4637,Ametista,10.0,6.0,8.2,9.5,3.77,5.625,8.67,0
909,RA-901,Aluno-901,0,2023,7.3112,Ametista,5.0,7.5,8.7,8.5,3.77,6.25,8.595,-2
910,RA-743,Aluno-743,0,2023,6.659,Agata,5.0,7.1,9.1,0.0,3.77,7.5,9.01,-2
911,RA-681,Aluno-681,0,2023,6.2955,Agata,5.0,8.3,7.8,0.0,3.77,5.625,8.18,-2
912,RA-902,Aluno-902,0,2023,5.9734,Quartzo,2.5,3.9,9.3,10.0,2.52,5.3125,6.5,-3
913,RA-903,Aluno-903,0,2023,8.5242,Topázio,10.0,7.8,9.6,10.0,5.02,7.5,9.01,0
914,RA-851,Aluno-851,0,2023,6.1683,Agata,5.0,6.6,7.5,8.4,2.52,5.625,6.01,-1
915,RA-847,Aluno-847,0,2023,6.5418,Agata,5.0,7.6,9.1,7.9,2.52,5.0,5.84,-2
916,RA-904,Aluno-904,0,2023,8.1408,Topázio,10.0,6.4,9.3,9.0,7.52,7.8125,7.8367,0
917,RA-858,Aluno-858,0,2023,7.2488,Ametista,10.0,9.3,8.1,0.0,3.77,8.125,7.9467,0
918,RA-905,Aluno-905,0,2023,7.831,Ametista,5.0,8.3,9.4,9.5,7.52,6.875,7.0567,-1
919,RA-702,Aluno-702,0,2023,8.2399,Topázio,5.0,9.3,10.0,10.0,5.63,7.5,7.8333,-1
920,RA-725,Aluno-725,0,2023,8.1174,Topázio,5.0,8.4,9.0,9.5,7.52,8.125,8.1133,-1
921,RA-906,Aluno-906,0,2023,8.1922,Topázio,10.0,8.6,9.2,7.5,7.52,7.5,6.95,0
922,RA-907,Aluno-907,0,2023,8.962,Topázio,10.0,9.3,9.6,9.5,7.52,8.125,8.3367,0
923,RA-908,Aluno-908,0,2023,8.4794,Topázio,10.0,7.9,9.0,9.0,7.52,8.125,8.2233,0
924,RA-909,Aluno-909,0,2023,8.486,Topázio,5.0,9.2,9.9,10.0,7.52,8.125,8.0567,-2
925,RA-708,Aluno-708,0,2023,7.5105,Ametista,5.0,9.2,9.8,0.0,7.52,8.125,8.28,-1
926,RA-910,Aluno-910,0,2023,7.801,Ametista,10.0,8.9,8.8,0.0,7.52,8.75,8.17,0
927,RA-671,Aluno-671,0,2023,6.5143,Agata,5.0,7.8,8.3,7.9,3.14,5.625,5.68,-2
928,RA-836,Aluno-836,0,2023,7.6417,Ametista,5.0,6.7,9.6,9.5,6.27,6.875,8.085,-2
929,RA-911,Aluno-911,0,2023,5.5954,Quartzo,5.0,3.4,6.7,9.0,2.52,5.3125,7.01,-2
930,RA-860,Aluno-860,0,2023,8.2372,Topázio,10.0,7.4,9.8,7.0,6.89,7.5,8.34,0
931,RA-727,Aluno-727,0,2023,7.6802,Ametista,5.0,8.0,8.8,9.5,2.52,7.5,9.34,-1
932,RA-739,Aluno-739,0,2023,7.5972,Ametista,5.0,7.6,8.3,9.0,7.52,6.25,8.25,-1
933,RA-740,Aluno-740,0,2023,7.2845,Ametista,5.0,9.1,8.7,0.0,7.52,6.875,8.925,-2
934,RA-912,Aluno-912,0,2023,7.0797,Ametista,5.0,6.3,9.4,7.0,7.52,5.625,7.175,-1
935,RA-706,Aluno-706,0,2023,7.1527,Ametista,5.0,7.3,7.8,9.0,4.39,6.875,8.08,-2
936,RA-840,Aluno-840,0,2023,7.7862,Ametista,5.0,8.2,9.0,9.5,4.38,7.5,8.59,-1
937,RA-841,Aluno-841,0,2023,6.78,Agata,5.0,6.9,7.2,0.0,7.52,7.5,9.84,-2
938,RA-709,Aluno-709,0,2023,6.6927,Agata,5.0,4.9,7.9,10.0,7.52,5.625,6.59,-2
939,RA-913,Aluno-913,0,2023,7.7432,Ametista,5.0,7.9,8.5,8.0,6.89,6.25,9.245,-2
940,RA-726,Aluno-726,0,2023,7.3687,Ametista,10.0,6.0,6.1,10.0,7.52,5.625,8.17,0
941,RA-914,Aluno-914,0,2023,8.6912,Topázio,10.0,8.7,9.2,10.0,7.52,6.25,8.67,0
942,RA-915,Aluno-915,0,2023,8.5962,Topázio,10.0,8.4,8.4,10.0,7.52,7.5,8.67,0
943,RA-916,Aluno-916,0,2023,7.3882,Ametista,5.0,6.6,9.7,9.5,2.52,6.25,9.005,-1
944,RA-917,Aluno-917,0,2023,5.987,Quartzo,10.0,7.0,7.2,0.0,2.52,6.25,6.35,0
945,RA-918,Aluno-918,0,2023,7.4967,Ametista,10.0,7.7,8.7,10.0,2.52,5.625,7.01,0
946,RA-919,Aluno-919,0,2023,6.225,Agata,5.0,5.3,8.4,0.0,7.52,6.25,8.09,-1
947,RA-920,Aluno-920,0,2023,6.9647,Agata,10.0,6.1,6.3,9.0,7.52,5.625,6.35,0
948,RA-921,Aluno-921,0,2023,7.7407,Ametista,10.0,6.3,9.7,9.0,7.52,5.625,6.68,0
949,RA-922,Aluno-922,0,2023,8.5262,Topázio,10.0,8.4,9.7,8.5,3.14,7.5,10.01,0
950,RA-715,Aluno-715,0,2023,5.8915,Quartzo,5.0,5.4,9.5,0.0,3.14,5.625,7.675,-2
951,RA-822,Aluno-822,0,2023,6.4497,Agata,5.0,7.1,8.4,8.5,2.52,5.625,5.925,-2
952,RA-923,Aluno-923,0,2023,8.8842,Topázio,10.0,7.3,9.9,9.5,7.52,7.5,10.01,0
953,RA-742,Aluno-742,0,2023,7.024,Ametista,5.0,7.5,7.6,0.0,7.52,7.5,10.01,-2
954,RA-924,Aluno-924,0,2023,6.5207,Agata,10.0,5.0,5.6,9.0,7.52,5.625,5.93,0
955,RA-925,Aluno-925,0,2023,7.1837,Ametista,10.0,5.4,8.9,9.0,7.52,5.625,5.595,0
956,RA-853,Aluno-853,0,2023,7.8402,Ametista,5.0,7.4,9.5,10.0,3.77,6.25,9.84,-1
957,RA-854,Aluno-854,0,2023,6.6415,Agata,10.0,6.0,9.5,0.0,3.77,5.625,8.01,0
958,RA-700,Aluno-700,0,2023,8.2852,Topázio,5.0,7.8,9.7,9.5,7.52,6.25,9.84,-1
959,RA-701,Aluno-701,0,2023,7.3982,Ametista,5.0,7.2,9.9,9.5,3.77,6.25,7.68,-2
960,RA-856,Aluno-856,0,2023,7.3355,Ametista,10.0,7.3,9.6,0.0,7.52,5.625,8.255,0
961,RA-672,Aluno-672,0,2023,6.5623,Agata,5.0,6.4,9.5,7.9,2.52,5.625,6.43,-2
962,RA-859,Aluno-859,0,2023,8.6042,Topázio,10.0,7.3,9.2,8.0,7.52,7.5,10.01,0
963,RA-704,Aluno-704,0,2023,6.8297,Agata,5.0,6.1,9.9,10.0,3.14,5.625,6.265,-2
964,RA-741,Aluno-741,0,2023,6.2707,Agata,5.0,5.1,6.9,9.5,4.39,5.625,7.095,-2
965,RA-719,Aluno-719,0,2023,6.4137,Agata,5.0,5.9,5.3,9.5,7.52,5.625,7.095,-2
966,RA-926,Aluno-926,0,2023,7.7792,Ametista,5.0,6.8,10.0,9.0,3.77,7.5,9.51,-1
967,RA-927,Aluno-927,0,2023,7.5982,Ametista,5.0,6.4,9.7,9.0,3.77,7.5,9.255,-1
968,RA-928,Aluno-928,0,2023,9.3712,Topázio,10.0,9.8,10.0,8.5,7.52,8.75,9.67,0
969,RA-929,Aluno-929,0,2023,9.1312,Topázio,10.0,8.8,9.8,8.5,7.52,8.75,9.67,0
970,RA-930,Aluno-930,0,2023,8.8872,Topázio,10.0,9.0,8.8,9.0,7.52,8.75,9.0,0
971,RA-931,Aluno-931,0,2023,7.3747,Ametista,10.0,7.8,8.2,8.5,2.52,5.625,7.6,0
972,RA-932,Aluno-932,0,2023,8.3847,Topázio,10.0,7.5,7.9,9.5,7.52,8.125,9.0,0
973,RA-933,Aluno-933,0,2023,8.6712,Topázio,10.0,7.7,8.4,9.0,7.52,8.75,9.67,0
974,RA-934,Aluno-934,0,2023,9.1737,Topázio,10.0,8.7,9.6,9.0,7.52,9.375,9.67,0
975,RA-935,Aluno-935,0,2023,7.9535,Ametista,5.0,9.4,9.8,0.0,7.52,9.375,9.67,-1
976,RA-936,Aluno-936,0,2023,8.5477,Topázio,10.0,6.5,10.0,9.0,7.52,8.125,8.915,0
977,RA-937,Aluno-937,0,2023,9.3237,Topázio,10.0,9.2,9.6,9.5,7.52,9.375,9.67,0
978,RA-756,Aluno-756,0,2023,7.0927,Ametista,5.0,6.1,8.7,10.0,7.52,5.625,6.59,-2
979,RA-938,Aluno-938,0,2023,6.7372,Agata,5.0,4.2,8.4,8.5,7.52,6.25,7.5,-1
980,RA-939,Aluno-939,0,2023,7.9742,Ametista,5.0,5.4,10.0,9.0,7.52,7.5,10.01,-2
981,RA-789,Aluno-789,0,2023,7.974,Ametista,10.0,7.9,9.5,0.0,7.52,7.5,10.01,0
982,RA-792,Aluno-792,0,2023,7.6267,Ametista,5.0,7.2,7.7,9.0,7.52,6.875,9.085,-2
983,RA-940,Aluno-940,0,2023,6.6112,Agata,5.0,6.3,8.4,9.0,2.52,6.25,7.02,-2
984,RA-941,Aluno-941,0,2023,7.6872,Ametista,10.0,5.0,10.0,8.0,7.52,5.0,8.175,0
985,RA-942,Aluno-942,0,2023,6.8547,Agata,5.0,7.1,8.9,9.5,2.52,5.625,7.0,-2
986,RA-943,Aluno-943,0,2023,8.9172,Topázio,10.0,8.0,9.4,9.5,7.52,7.5,9.925,0
987,RA-782,Aluno-782,0,2023,7.6812,Ametista,5.0,7.5,9.8,8.5,2.52,7.5,9.345,-1
988,RA-768,Aluno-768,0,2023,8.4042,Topázio,5.0,7.9,9.1,10.0,7.52,7.5,10.01,-2
989,RA-794,Aluno-794,0,2023,7.9842,Ametista,5.0,6.2,9.2,9.0,7.52,7.5,10.01,-1
990,RA-795,Aluno-795,0,2023,8.4642,Topázio,5.0,8.2,9.6,9.0,7.52,7.5,10.01,-1
991,RA-944,Aluno-944,0,2023,7.0687,Ametista,5.0,7.5,7.6,9.0,7.52,5.625,6.67,-1
992,RA-945,Aluno-945,0,2023,8.0777,Topázio,10.0,7.9,9.2,8.5,7.52,6.875,6.84,0
993,RA-946,Aluno-946,0,2023,8.5822,Topázio,10.0,9.3,9.4,9.5,7.52,7.5,7.0,0
994,RA-754,Aluno-754,0,2023,6.0537,Agata,5.0,5.6,6.1,9.5,2.52,6.875,6.67,-2
995,RA-947,Aluno-947,0,2023,6.3457,Agata,10.0,3.3,7.9,9.0,7.52,4.375,5.08,0
996,RA-948,Aluno-948,0,2023,6.5277,Agata,10.0,0.0,7.6,9.0,7.52,6.875,8.34,0
997,RA-949,Aluno-949,0,2023,8.0172,Topázio,10.0,8.9,8.1,9.5,7.52,6.25,6.5,0
998,RA-950,Aluno-950,0,2023,8.8862,Topázio,10.0,9.3,10.0,9.0,7.52,7.5,8.17,0
999,RA-773,Aluno-773,0,2023,6.9287,Agata,5.0,7.9,7.5,10.0,2.52,5.625,7.67,-1
1000,RA-951,Aluno-951,0,2023,8.8902,Topázio,10.0,8.4,9.7,9.5,7.52,7.5,9.09,0
1001,RA-769,Aluno-769,0,2023,7.8534,Ametista,5.0,8.0,9.3,10.0,3.77,7.8125,8.675,-2
1002,RA-952,Aluno-952,0,2023,8.371,Topázio,10.0,9.0,9.2,9.5,3.77,7.1875,8.425,0
1003,RA-826,Aluno-826,0,2023,7.7764,Ametista,5.0,7.3,10.0,10.0,3.77,7.8125,8.34,-1
1004,RA-953,Aluno-953,0,2023,7.54,Ametista,10.0,8.3,8.8,7.4,3.14,6.5625,7.09,0
1005,RA-954,Aluno-954,0,2023,6.8238,Agata,10.0,7.7,8.3,0.0,3.14,7.1875,8.005,0
1006,RA-780,Aluno-780,0,2023,7.7842,Ametista,5.0,8.3,8.8,9.5,3.14,8.75,8.675,-2
1007,RA-955,Aluno-955,0,2023,7.1297,Ametista,5.0,7.8,8.8,9.0,3.14,6.875,7.09,-2
1008,RA-831,Aluno-831,0,2023,7.7164,Ametista,5.0,8.3,9.4,8.0,3.77,7.8125,8.59,-1
1009,RA-783,Aluno-783,0,2023,7.2922,Ametista,5.0,8.9,6.8,9.5,3.77,7.5,7.925,-1
1010,RA-774,Aluno-774,0,2023,5.852,Quartzo,5.0,6.9,9.5,0.0,3.14,5.0,6.34,-1
1011,RA-748,Aluno-748,0,2023,8.7142,Topázio,5.0,9.1,9.7,9.5,7.52,7.5,10.01,-2
1012,RA-749,Aluno-749,0,2023,7.7597,Ametista,5.0,7.3,9.0,10.0,7.52,5.625,8.425,-1
1013,RA-956,Aluno-956,0,2023,7.7312,Ametista,5.0,7.8,7.5,8.0,7.52,7.5,9.345,-2
1014,RA-787,Aluno-787,0,2023,7.5227,Ametista,5.0,5.9,9.8,9.0,7.52,5.625,8.34,-1
1015,RA-957,Aluno-957,0,2023,9.1672,Topázio,10.0,9.1,9.3,10.0,7.52,7.5,9.925,0
1016,RA-753,Aluno-753,0,2023,8.6672,Topázio,5.0,9.0,9.9,9.0,7.52,7.5,9.925,-1
1017,RA-958,Aluno-958,0,2023,9.2902,Topázio,10.0,9.3,9.8,10.0,7.52,7.5,9.84,0
1018,RA-755,Aluno-755,0,2023,8.7442,Topázio,5.0,9.2,9.5,10.0,7.52,7.5,10.01,-1
1019,RA-763,Aluno-763,0,2023,6.7215,Agata,5.0,7.9,9.2,0.0,3.14,6.875,9.0,-2
1020,RA-757,Aluno-757,0,2023,8.6742,Topázio,5.0,9.3,9.6,9.0,7.52,7.5,10.01,-2
1021,RA-959,Aluno-959,0,2023,8.6677,Topázio,10.0,7.7,9.6,10.0,7.52,6.875,8.84,0
1022,RA-960,Aluno-960,0,2023,7.0847,Ametista,5.0,6.3,10.0,8.5,7.52,5.625,5.85,-2
1023,RA-961,Aluno-961,0,2023,5.9962,Quartzo,5.0,6.2,8.7,0.0,2.52,5.3125,8.665,-1
1024,RA-962,Aluno-962,0,2023,8.4742,Topázio,5.0,8.7,9.2,9.0,7.52,7.5,10.01,-1
1025,RA-805,Aluno-805,0,2023,6.492,Agata,5.0,6.8,9.1,0.0,7.52,6.25,7.175,-1
1026,RA-806,Aluno-806,0,2023,7.2937,Ametista,5.0,7.8,8.3,8.5,6.27,6.875,7.095,-1
1027,RA-807,Aluno-807,0,2023,7.8632,Ametista,5.0,8.0,9.1,9.5,7.52,6.25,8.08,-1
1028,RA-963,Aluno-963,0,2023,8.6142,Topázio,5.0,8.5,9.8,9.5,7.52,7.5,10.01,-1
1029,RA-964,Aluno-964,0,2023,7.7997,Ametista,5.0,7.2,9.4,8.5,7.52,6.875,8.5,-1
1030,RA-965,Aluno-965,0,2023,6.4832,Agata,5.0,4.7,8.2,8.5,6.27,5.0,7.18,-1
1031,RA-966,Aluno-966,0,2023,7.4434,Ametista,5.0,5.0,10.0,10.0,7.52,6.5625,7.675,-1
1032,RA-967,Aluno-967,0,2023,7.1347,Ametista,5.0,6.5,8.0,9.5,7.52,5.625,7.35,-2
1033,RA-968,Aluno-968,0,2023,8.4942,Topázio,5.0,8.3,9.7,9.0,7.52,7.5,10.01,-1
1034,RA-812,Aluno-812,0,2023,8.0357,Topázio,10.0,5.8,9.1,9.5,7.52,6.875,8.33,0
1035,RA-969,Aluno-969,0,2023,7.7692,Ametista,10.0,5.5,9.7,8.5,7.52,6.25,7.51,0
1036,RA-970,Aluno-970,0,2023,8.9977,Topázio,10.0,9.4,8.1,8.5,7.52,9.375,9.84,0
1037,RA-971,Aluno-971,0,2023,7.0169,Ametista,10.0,6.9,6.4,7.8,3.77,5.625,8.17,0
1038,RA-972,Aluno-972,0,2023,7.5427,Ametista,10.0,6.0,9.1,9.0,3.77,6.875,7.84,0
1039,RA-973,Aluno-973,0,2023,5.8288,Quartzo,5.0,5.2,8.6,0.0,3.77,7.1875,7.415,-1
1040,RA-974,Aluno-974,0,2023,8.4752,Topázio,10.0,8.8,9.1,9.0,3.77,7.5,9.34,0
1041,RA-975,Aluno-975,0,2023,7.7803,Ametista,10.0,6.5,9.2,7.9,7.52,5.625,7.67,0
1042,RA-976,Aluno-976,0,2023,8.3989,Topázio,10.0,8.6,9.2,9.5,6.27,5.9375,8.34,0
1043,RA-977,Aluno-977,0,2023,7.1717,Ametista,10.0,5.8,7.4,8.5,5.02,5.625,8.085,0
1044,RA-978,Aluno-978,0,2023,8.3877,Topázio,10.0,8.6,9.8,9.0,3.77,5.625,9.34,0
1045,RA-979,Aluno-979,0,2023,8.1617,Topázio,10.0,6.0,9.6,9.5,6.27,5.625,9.51,0
1046,RA-980,Aluno-980,0,2023,7.1425,Ametista,10.0,6.3,9.8,0.0,5.02,5.625,9.34,0
1047,RA-808,Aluno-808,0,2023,8.1932,Topázio,5.0,8.7,10.0,10.0,2.52,7.5,9.755,-1
1048,RA-981,Aluno-981,0,2023,7.5367,Ametista,10.0,5.8,9.1,9.5,2.52,5.625,9.01,0
1049,RA-982,Aluno-982,0,2023,7.1215,Ametista,10.0,8.6,9.1,0.0,2.52,5.625,8.835,0
1050,RA-983,Aluno-983,0,2023,8.3502,Topázio,10.0,8.8,9.9,8.5,2.52,6.25,9.415,0
1051,RA-984,Aluno-984,0,2023,8.8177,Topázio,10.0,8.3,9.8,8.0,7.52,6.875,9.84,0
1052,RA-985,Aluno-985,0,2023,7.6247,Ametista,10.0,6.8,9.3,9.0,2.52,5.625,8.5,0
1053,RA-986,Aluno-986,0,2023,8.0107,Topázio,10.0,8.3,9.1,9.5,2.52,5.625,8.83,0
1054,RA-987,Aluno-987,0,2023,7.6765,Ametista,10.0,7.3,9.8,0.0,6.27,6.875,9.76,0
1055,RA-988,Aluno-988,0,2023,7.9568,Ametista,5.0,8.5,8.1,7.9,7.52,6.25,9.84,-1
1056,RA-989,Aluno-989,0,2023,7.7242,Ametista,5.0,8.3,8.1,9.5,2.52,7.5,10.01,-1
1057,RA-677,Aluno-677,0,2023,8.5257,Topázio,5.0,8.7,8.2,10.0,10.0,6.875,9.84,-1
1058,RA-990,Aluno-990,0,2023,7.254,Ametista,5.0,7.8,8.5,0.0,7.52,7.5,10.01,-1
1059,RA-991,Aluno-991,0,2023,7.7687,Ametista,5.0,7.7,9.1,10.0,3.14,6.875,9.585,-1
1060,RA-992,Aluno-992,0,2023,7.2722,Ametista,5.0,8.0,8.2,9.5,3.14,5.0,8.84,-2
1061,RA-703,Aluno-703,0,2023,6.2737,Agata,5.0,4.6,8.4,9.5,3.14,6.875,6.16,-2
1062,RA-993,Aluno-993,0,2023,8.7592,Topázio,10.0,8.6,9.8,9.5,3.77,7.5,10.01,0
1063,RA-674,Aluno-674,0,2023,6.6328,Agata,5.0,5.2,8.5,7.9,3.77,5.0,8.67,-1
1064,RA-994,Aluno-994,0,2023,7.4127,Ametista,10.0,6.0,9.4,9.5,3.77,5.625,7.265,0
1065,RA-995,Aluno-995,0,2023,6.4782,Agata,5.0,5.1,7.9,9.5,3.77,6.25,7.18,-2
1066,RA-996,Aluno-996,0,2023,8.1892,Topázio,5.0,8.6,9.2,10.0,3.77,7.5,10.01,-1
1067,RA-997,Aluno-997,0,2023,7.5687,Ametista,10.0,7.1,8.7,7.5,3.77,5.625,8.595,0
1068,RA-998,Aluno-998,0,2023,7.9752,Ametista,5.0,7.9,9.3,9.5,3.77,7.5,9.84,-2
1069,RA-999,Aluno-999,0,2023,8.0352,Topázio,5.0,8.3,9.4,9.0,3.77,7.5,9.84,-1
1070,RA-750,Aluno-750,0,2023,5.6857,Quartzo,5.0,3.4,7.7,9.5,3.14,4.375,6.32,-2
1071,RA-770,Aluno-770,0,2023,6.6785,Agata,10.0,5.9,8.3,0.0,3.77,6.875,8.92,0
1072,RA-771,Aluno-771,0,2023,7.056,Ametista,10.0,8.2,8.8,0.0,3.14,6.25,8.585,0
1073,RA-1000,Aluno-1000,0,2023,7.9162,Ametista,10.0,7.0,9.4,8.5,3.77,6.25,8.92,0
1074,RA-830,Aluno-830,0,2023,6.78,Agata,5.0,8.3,8.9,0.0,3.14,6.25,9.505,-1
1075,RA-1001,Aluno-1001,0,2023,8.1162,Topázio,5.0,7.8,9.1,9.0,7.52,7.5,9.17,-1
1076,RA-1002,Aluno-1002,0,2023,7.9012,Ametista,5.0,7.0,9.7,9.0,7.52,6.25,8.92,-1
1077,RA-1003,Aluno-1003,0,2023,7.6522,Ametista,10.0,4.0,8.5,9.0,7.52,7.5,8.75,0
1078,RA-835,Aluno-835,0,2023,8.2467,Topázio,10.0,8.7,8.5,8.0,7.52,6.875,7.835,0
1079,RA-1004,Aluno-1004,0,2023,8.3137,Topázio,10.0,7.9,9.6,9.0,7.52,6.875,7.42,0
